,id_koi,koi_disposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_impact,koi_impact_err1,koi_impact_err2,id_kic,id_koicand,id_kepler_name,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,dr25_impact,dr25_tau_err1,dr25_impact_err2,dr25_impact_err1,dr25_tau_err2,dr25_ror,dr25_ror_err1,dr25_ror_err2,dr25_fgraz,dr25_autocorr_over_length,dr25_tau,level_0,index,m17_dec,m17_steff,m17_kmag,m17_srad,m17_hmag_err,m17_jmag_err,m17_kmag_err,m17_smass,m17_ra,m17_jmag,st_quarters,m17_hmag,m17_kepmag,gaia2_ruwe,gaia2_gflux_err,gaia2_gflux,gaia2_rpflux_err,gaia2_astrometric_excess_noise_sig,gaia2_rpmag,gaia2_rpflux,gaia2_bpflux_err,gaia2_sparallax_err,gaia2_ra,gaia2_astrometric_excess_noise,gaia2_sparallax_over_err,id_gaia2,gaia2_angdist,gaia2_gmag,gaia2_dec,gaia2_bpflux,gaia2_bpmag,gaia2_sparallax,gaia2_steff,gaia2_steff_err1,gaia2_steff_err2,gaia2_srad,gaia2_srad_err1,gaia2_srad_err2,gaia2_kmag,gaia2_kflux,gaia2_gflux_aper,gaia2_kflux_aper,gaia2_gflux_sum,gaia2_kflux_sum,gaia2_absdiff_gkep,gaia2_n_8arcsec,gaia2_n_1arcsec,gaia2_gflux_ratio,gaia2_kflux_ratio,ber18_steff,ber18_srad_err,ber18_steff_err,ber18_srad,kepmag,cdpp3,cdpp6,cdpp12,logcdpp3,logcdpp6,logcdpp12,tobs,cks_steff,cks_steff_err,cks_smet,cks_smet_err,cks_svsini,cks_svsini_err,feh_err,gdir_avs,gdir_avs_err2,gdir_srad_err2,gdir_srad_err1,gdir_avs_err1,gdir_srad,giso_sage_err1,giso_srad_err1,giso_srad_err2,giso_smass,giso_srho,giso_smass_err2,giso_smass_err1,giso_srad,giso_sage_err2,giso_srho_err1,giso_srho_err2,giso_sage,giso2_sparallax,giso2_sparallax_err1,giso2_sparallax_err2,id_starname_x,cks_sprov,obs,id_obs,id_name,rm_sb2,f17_ao_obs,id_starname_y,f17_rcf_avg,f17_rcf_avg_err,k16_massratio_ul,k16_max_massratio,k16_sep,fpp_prob,giso_tau0,gdir_prad,gdir_prad_err1,gdir_prad_err2,giso_sinc,giso_sinc_err1,giso_sinc_err2,giso_sma,giso_sma_err1,giso_sma_err2,giso_prad,giso_prad_err1,giso_prad_err2,isnone,isfaint,isgiant,isruwe,isdiluted,isnotreliable,islowsnr,isany,isbadvsini,issb2,isbadspecparallax,isbadprad,isbadpradprec,isbadimpacttau
1,2,CONFIRMED,1.0,2.2047354169999998,4.3e-08,-4.3e-08,0.075522,0.000298,-0.00035,16.1,0.81,-0.91,0.22399999999999998,0.159,-0.21600000000000003,10666592,K00002.01,Kepler-2 b,232.27,3862.1846,5945.9,1,611,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.0,0.013574126176966168,0.00044818889923092797,-0.009360430512715942,0.013833059123120458,-0.0004331157023464982,0.07518256946253589,8.172568108824607e-06,-7.782786654267349e-06,0.0,0.00039289499368731946,3.571421682462812,2.0,823.0,47.969521,6440.0,9.334,1.952,0.029,0.03,0.018,1.449,292.24728,9.555,11111111111111111,9.344,10.463,0.9590995000000001,487.17508650125404,1346416.0287175446,847.7944011606443,0.0,9.985872,813615.6049481176,876.5981463939229,0.020597048033175032,292.2471899929721,0.0,140.94762,2.129256395211984e+18,0.23079653355604204,10.3654175,47.96954287693603,775480.0048192713,10.627461,2.956104724231727,6423.767,344.8680000000004,-144.96699999999964,2.0075905,0.09377439999999959,-0.19936510000000007,9.2747162,3900708.670402837,1345085.468498526,3896853.8976787156,1345617.1404215607,3896853.8976787156,0.09758249999999968,2.0,,0.9994066556852084,0.9990117763078873,6449.0,0.08,129.0,1.991,10.463000297546387,67.66699981689453,67.427001953125,64.88899993896484,1.8303768634796143,1.828833818435669,1.8121711015701294,33.804375,6448.7,100.0,0.203,0.06,5.2,1.0,0.12,0.13182245489980549,-0.000341127602778768,-0.063154002142225,0.06576456315219525,0.00034492251049184075,1.9733172353714967,0.2681813470157868,0.023967146770104145,-0.026335564929729882,1.5227104490970371,0.1942309474066175,-0.03695549001907738,0.027192464682826545,1.983896076547116,-0.2521586218593905,0.009221989932223671,-0.00860435266212059,1.7957058918467501,3.845323962929211,0.5299261042668466,-1.5285402246141555,K00002,cks1,,,,1.0,"Keck,Pal1.5,WIYN",K00002,1.0034,0.0002,,,,3.8e-06,4.575695585067674,16.207189662705446,0.5290008882130727,-0.5290008882130727,4197.241277231218,287.45752961959704,-287.45752961959704,0.03816038262715793,0.0002669167457017517,-0.0002669167457017517,16.29200230071909,0.2047658921312032,-0.2047658921312032,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,7,CONFIRMED,1.0,3.2136689260000004,1.09e-06,-1.09e-06,0.02447,0.00014,-5.5e-05,4.13,0.26,-0.23,0.021,0.188,-0.021,11853905,K00007.01,Kepler-4 b,23.658726,294.484,346.9,1,335,1,q1_q17_dr25_tce,11111110111011101000000000000000,0.1038,0.14598720973048804,0.008107227389775318,-0.09990793869855981,0.14010351034700216,-0.008235368096277451,0.024535423459371177,0.0001619483802106636,-7.22338242051708e-05,0.0,0.0012463974612987954,3.868588561159576,7.0,981.0,50.13575,5795.0,10.805,1.545,0.031,0.023,0.023,1.097,285.61533,11.122,11111110111011101,10.835999999999999,12.210999999999999,1.0332932,36.08032773670715,258393.89921488467,107.64483038252818,0.0,11.6758585,171563.3781084279,205.6742260589888,0.02429939612086288,285.61544923641924,0.0,83.16804,2.132152916856094e+18,0.28548687832439607,12.1576605,50.13577115890124,138564.1481621809,12.497261,2.073933160935962,5697.7,91.30000000000018,-166.16699999999946,1.6264608999999999,0.09918540000000009,-0.050898099999999724,10.761276250000002,992017.8703436279,258113.9003539082,990942.9073719459,258113.9003539082,990942.9073719459,0.0533394999999981,1.0,,0.9989163874927882,0.9989163874927882,5827.0,0.064,117.0,1.526,12.211000442504883,53.5620002746582,47.625,41.50600051879883,1.7288568019866943,1.6778349876403809,1.6181108951568604,353.285625,5826.9,100.0,0.177,0.06,2.8,1.0,0.12,0.2380476863749933,-0.00031923049485071964,-0.055961501353953835,0.05851637759480788,0.0003258653990827476,1.5209320546735672,1.7426527473251625,0.02192092149151792,-0.020936126679860226,1.1604935164605708,0.32696396917925,-0.0707564747327798,0.05193834256107732,1.5246068492355502,-1.2147424700927625,0.02149275480955853,-0.02749275160504849,5.820989060391735,2.7124846073331903,0.348017947287122,-0.7699208040086041,K00007,cks1,,,,1.0,"Pal1.5,Pal5,WIYN",K00007,,,,,,1.4e-07,4.361255390091486,4.074909937986854,0.1560638711493985,-0.1560638711493985,1197.792735539184,99.34216053838398,-99.34216053838398,0.04481784968662103,0.0007919556799894887,-0.0007919556799894887,4.086830979057474,0.06000083348276656,-0.06000083348276656,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,17,CONFIRMED,0.987,3.234699282,1.1900000000000001e-07,-1.1900000000000001e-07,0.09263300000000001,3.2e-05,-8.2e-05,13.06,0.96,-0.96,0.079,0.003,-0.057999999999999996,10874614,K00017.01,Kepler-6 b,237.8818,2986.2598,3003.8,1,335,1,q1_q17_dr25_tce,11111101110111011000000000000000,0.9583,0.01469272859649415,0.0009092053964034896,-0.009997689370764111,0.015703899157371852,-0.0008778679707286408,0.09255968653153465,2.0153995231891875e-05,-2.012349487814924e-05,0.0,0.00034383113234403006,3.275746126480558,17.0,850.0,48.239944,5640.0,11.634,1.291,0.019,0.021,0.019,1.047,296.83725,12.001,11111101110111011,11.706,13.303,0.99910915,26.765495845965727,101574.14514887374,55.932358252640974,0.0,12.634564,70948.35874336309,74.84477893171889,0.014482032199592378,296.83724753743735,0.0,115.63658000000001,2.0866368849805143e+18,0.09194897797976585,13.171408,48.23996948867032,51985.9663224177,13.561673,1.7276526608733007,5437.5,372.75,-50.0,1.367314,0.02549710000000016,-0.16980949999999995,11.595322699999997,460151.57796897076,101485.0676237349,459748.0386264134,102766.66506084419,464931.0330103635,0.13159200000000126,2.0,,1.0117403883657856,1.0103866970585833,5660.0,0.052,113.0,1.275,13.303000450134277,101.50300598144531,99.68299865722656,92.31300354003906,2.006478786468506,1.9986211061477661,1.9652628898620605,409.5093750000001,5659.8,100.0,0.359,0.06,2.6,1.0,0.12,0.13525550144842596,-2.8582395271009583e-05,-0.045476089120769066,0.04773944472724412,2.8983279699079656e-05,1.2560336286574545,2.293240079727936,0.018080944011128697,-0.012995128522643729,1.0970257227790357,0.5489898160003579,-0.04995427115757045,0.04504684234838408,1.2573205600524375,-1.8687354843320625,0.04110750925659956,-0.041576752671156236,6.347456959917965,1.8691064747413748,0.2355634770880017,-0.5197142595541331,K00017,cks1,,,,1.0,"Pal1.5,Pal5",K00017,,,,,,0.00052,3.677344480956492,12.701629216114721,0.46926064369162745,-0.46926064369162745,745.4646832832407,59.908958803758736,-59.908958803758736,0.04417158259992567,0.000635409444129663,-0.000635409444129663,12.715286047213304,0.15677210101661807,-0.15677210101661807,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,18,CONFIRMED,0.754,3.5484654460000002,1.83e-07,-1.83e-07,0.07827200000000001,4.6e-05,-4.7e-05,14.92,1.08,-1.31,0.075,0.013000000000000001,-0.053,8191672,K00018.01,Kepler-5 b,165.75914,2268.56,2486.5,1,378,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.0,0.01550960444409309,0.0011802927121671303,-0.010592408786406273,0.016745188777473385,-0.001162038741427729,0.07823391474842523,1.9434951683758306e-05,-1.903498145293392e-05,0.0,0.0003721685781911218,4.215722366470669,18.0,487.0,44.035053,6290.0,11.769,1.746,0.032,0.029,0.025,1.319,299.40701,12.115,11111111111111111,11.863,13.369000000000002,0.96301967,25.433072032888173,96567.19971177763,67.90735966586288,0.0,12.702333,66655.28033143816,48.57101986866288,0.020191299439832874,299.4070341306313,0.0,53.633933999999996,2.0790183001953905e+18,0.08092544663713581,13.226292,44.035038704195856,50910.14952841668,13.584376999999998,1.135938849161052,5718.267,353.7330000000002,-355.03700000000026,1.8408666,0.25179170000000006,-0.20823710000000006,11.726817200000003,407664.7079572668,96483.08000120982,407309.5911334961,96556.70103178287,407319.0705277558,0.14270800000000072,3.0,,0.9998912810972452,0.9991521526814452,6332.0,0.08,127.0,1.777,13.369000434875488,82.78399658203125,71.95399475097656,58.215999603271484,1.9179463386535645,1.8570549488067627,1.7650423049926758,440.4675000000001,6331.9,100.0,0.022000000000000002,0.06,4.4,1.0,0.12,0.05027786211501839,-1.1546510633377027e-05,-0.06277184923037238,0.06550356780439248,1.1928002490141365e-05,1.6897211887472952,0.5565996912370257,0.035713788795442625,-0.032423017225778894,1.307849210319451,0.2646317594787791,-0.04362331479995407,0.035020083958496206,1.697157949083584,-0.4024655434322759,0.019691990957134583,-0.018625198420395755,2.8882266736089157,1.4531987252952083,0.18803458053594446,-0.5889192817509951,K00018,cks1,,,,1.0,"Gem,Pal1.5,Pal5",K00018,1.0047,0.0042,,,,0.00036,4.837013643715775,14.451730931713854,0.5475996724683397,-0.5475996724683397,1674.45617853524,129.85453648287765,-129.85453648287765,0.04980593549649191,0.0005027517582655781,-0.0005027517582655781,14.50821225898942,0.290682800121659,-0.290682800121659,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,20,CONFIRMED,0.761,4.437962934,1.71e-07,-1.71e-07,0.11681400000000002,4.4e-05,-5.3e-05,18.05,2.92,-3.57,0.069,0.006999999999999999,-0.05,11804465,K00020.01,Kepler-12 b,302.35617,3302.585,3535.6,1,238,1,q1_q17_dr25_tce,11111110111011101000000000000000,0.4049,0.010619379147714688,0.0008909815044768621,-0.007304700415017807,0.011874554523831687,-0.0008726623764578889,0.11677055110755896,1.990704333454385e-05,-1.9675757274212335e-05,0.0,0.0003085650487090965,4.1914857422479646,20.0,976.0,50.040379,5953.0,12.066,1.415,0.031,0.026,0.023,1.093,286.24344,12.406,11111110111011101,12.107,13.438,0.9980302,16.785485001740987,85406.36023637367,27.692790569840852,0.0,12.902136,55451.55279052642,69.59851995662467,0.01245403298092162,286.24344584606075,0.0,88.78255,2.1335997753773407e+18,0.04491661167887845,13.359639999999999,50.04036710150058,47534.674980401185,13.658862,1.1587007728201497,6012.0,277.8100000000004,-269.33349999999973,1.5223271,0.14614419999999995,-0.1315073,12.0732058,296310.9327967316,85333.60043207784,296058.4981370489,85333.60043207784,296058.4981370489,0.07836000000000176,1.0,,0.9991480751071179,0.9991480751071178,5926.0,0.064,119.0,1.534,13.437999725341797,109.84500122070312,98.88400268554688,103.51399993896484,2.0407803058624268,1.9951260089874268,2.0149991512298584,353.780625,5926.5,100.0,0.033,0.06,1.7,1.0,0.12,0.14664070445064795,-3.853735841694017e-05,-0.05417821034992998,0.05660087884685905,3.926034289050695e-05,1.5047465839176366,1.3718384981922886,0.020295632714214973,-0.020521955466132225,1.1000878093343616,0.3226765198160374,-0.04888685057788189,0.0716743119672878,1.5076543224670902,-1.6410088998890426,0.02673166906904767,-0.025746359031818492,6.345124673527192,1.5510871992426123,0.18409321768992812,-0.446334664519536,K00020,cks1,,,,1.0,"Pal1.5,Pal5,WIYN",K00020,,,,,,0.0045,4.878090753463139,19.19558863038393,0.7141096436046538,-0.7141096436046538,843.104470701363,69.43043637372418,-69.43043637372418,0.05459585109715481,0.001006110441771713,-0.001006110441771713,19.236980596155732,0.2631797210691503,-0.2631797210691503,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,22,CONFIRMED,0.988,7.891448838,5.06e-07,-5.06e-07,0.093464,0.000135,-0.000212,12.63,2.13,-1.42,0.306,0.022000000000000002,-0.027999999999999997,9631995,K00022.01,Kepler-422 b,204.69714,1973.1324,1955.1,1,169,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.4421,0.30106964211100123,0.001431116690850498,-0.027544682009444654,0.023505298198788382,-0.001481984337611042,0.09343077704891664,0.00016772617210304708,-0.00017895310795541797,0.0,0.0005423071072692518,3.882273546306155,22.0,679.0,46.32336,5972.0,12.040999999999999,1.237,0.019,0.025,0.011,1.148,282.62967,12.357,11111111111111111,12.126,13.435,1.0052956,15.180542326729087,80545.51182067709,38.456426647277695,0.0,12.93817,53641.379549113095,61.72170875506901,0.012515861069040313,282.6296333838012,0.0,108.23428,2.1071147049285778e+18,0.29968938415672763,13.423263,46.323280686358174,43423.10308698286,13.757086,1.4076452982149112,5828.0,101.75,-44.66650000000027,1.2894976,0.019995399999999997,-0.04387390000000013,12.0311058,308026.21241399815,80456.23646598576,307684.80109577713,80456.23646598576,307684.80109577713,0.011737000000000108,1.0,,0.9988916160233722,0.9988916160233723,5891.0,0.051,118.0,1.273,13.4350004196167,68.46900177001953,51.249000549316406,40.07699966430664,1.835494041442871,1.7096854448318481,1.6028952598571777,349.28437500000007,5891.2,100.0,0.21,0.06,1.9,1.0,0.12,0.06038476033096826,-1.0636047201965926e-05,-0.04299172758193226,0.044983503482205256,1.0794753951888504e-05,1.247287750942168,1.7475701764319933,0.016154752119245774,-0.01825320882235748,1.12035794813666,0.5715504384476094,-0.04714655489336828,0.05071169518465712,1.2527371501808162,-1.5707222485364136,0.0396458637844328,-0.0414898332561493,4.714566875629816,1.4411425231330566,0.19115828686251785,-0.4327452967878657,K00022,cks1,,,,1.0,"Pal1.5,Pal5,WIYN",K00022,,,,,,0.0046,4.884406884050038,12.733803642819623,0.44846499737708356,-0.44846499737708356,260.5031994806664,20.624218704599304,-20.624218704599304,0.08060133946680145,0.0011741783764290783,-0.0011741783764290783,12.784676997023992,0.17723635353470718,-0.17723635353470718,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,41,CONFIRMED,1.0,12.81590421,1.945e-05,-1.945e-05,0.014066999999999998,0.001595,-0.000488,2.26,0.15,-0.12,0.58,0.005,-0.486,6521045,K00041.01,Kepler-100 c,11.34033,68.6452,106.7,3,104,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.5103,0.3259701647127809,0.0344775311474228,-0.22494062230639228,0.2772153924073842,-0.034195470148993934,0.013619881109982078,0.000521192379069316,-0.00017123863923971042,0.0,0.002361182329472129,6.248781001511823,41.0,315.0,41.990269,5788.0,9.768,1.474,0.017,0.021,0.013999999999999999,1.05,291.38599,10.081,11111111111111111,9.804,11.197,0.99729997,227.88710181641758,666208.4869388973,177.45619460990994,0.0,10.650089999999999,441297.8631092864,374.94875078711584,0.018753130168645358,291.38612939263993,0.0,173.50157,2.1017332440462054e+18,0.5971835845889025,11.12934,41.990139448300845,356519.1397372203,11.471181,3.3066975819578595,5622.4336,134.8163999999997,-111.31860000000052,1.6706578999999997,0.06817240000000035,-0.07732689999999964,9.733485299999998,2556441.59777111,664905.0631945764,2551439.9702853733,664905.0631945764,2551439.9702853733,0.06766000000000005,1.0,,0.9980435197541391,0.998043519754139,5854.0,0.061,117.0,1.533,11.196999549865723,29.46099853515625,24.322999954223633,20.325000762939453,1.4692474603652954,1.386017084121704,1.308030605316162,123.605625,5854.4,100.0,0.102,0.06,2.7,1.0,0.12,0.04806683149797303,-0.00015277314649790597,-0.052000390802714895,0.05441682437929706,0.0001540662306176374,1.5192413156736393,1.393937092591135,0.016241919039713615,-0.014358998874632434,1.1110437899979926,0.317175433285846,-0.050053473199616505,0.07461247034477347,1.5232004420118137,-1.6805810234697889,0.02299862581563672,-0.02519122741323171,6.566163363712385,4.451909804589448,0.5413450385920544,-1.251982325032127,K00041,cks1,,,,1.0,"CAHA,Keck,MMT,Pal1.5,Pal5,WIYN",K00041,1.0083,0.0008,1.0,0.095,979.4,9.8e-09,6.986521673030155,2.259763822457569,0.09829517164997581,-0.09829517164997581,198.51358324348396,16.031029959056674,-16.031029959056674,0.11108555123348271,0.002081054600860368,-0.002081054600860368,2.2657070036129143,0.06193748242968251,-0.06193748242968251,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,41,CONFIRMED,1.0,6.88707073,2.277e-05,-2.277e-05,0.008081999999999999,8e-06,-0.000632,1.3,0.08,-0.07,0.696,0.028999999999999998,-0.508,6521045,K00041.02,Kepler-100 b,5.231696,27.484185999999998,38.2,3,187,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.5283,0.31451894424480226,0.07360701527709246,-0.22150670955052532,0.2911087873534017,-0.0766860699777201,0.007619494711610793,0.00029707847079116657,-0.00015851965487470674,0.0,0.0008714543842526476,4.387075815016419,41.0,315.0,41.990269,5788.0,9.768,1.474,0.017,0.021,0.013999999999999999,1.05,291.38599,10.081,11111111111111111,9.804,11.197,0.99729997,227.88710181641758,666208.4869388973,177.45619460990994,0.0,10.650089999999999,441297.8631092864,374.94875078711584,0.018753130168645358,291.38612939263993,0.0,173.50157,2.1017332440462054e+18,0.5971835845889025,11.12934,41.990139448300845,356519.1397372203,11.471181,3.3066975819578595,5622.4336,134.8163999999997,-111.31860000000052,1.6706578999999997,0.06817240000000035,-0.07732689999999964,9.733485299999998,2556441.59777111,664905.0631945764,2551439.9702853733,664905.0631945764,2551439.9702853733,0.06766000000000005,1.0,,0.9980435197541391,0.998043519754139,5854.0,0.061,117.0,1.533,11.196999549865723,29.46099853515625,24.322999954223633,20.325000762939453,1.4692474603652954,1.386017084121704,1.308030605316162,123.605625,5854.4,100.0,0.102,0.06,2.7,1.0,0.12,0.04806683149797303,-0.00015277314649790597,-0.052000390802714895,0.05441682437929706,0.0001540662306176374,1.5192413156736393,1.393937092591135,0.016241919039713615,-0.014358998874632434,1.1110437899979926,0.317175433285846,-0.050053473199616505,0.07461247034477347,1.5232004420118137,-1.6805810234697889,0.02299862581563672,-0.02519122741323171,6.566163363712385,4.451909804589448,0.5413450385920544,-1.251982325032127,K00041,cks1,,,,1.0,"CAHA,Keck,MMT,Pal1.5,Pal5,WIYN",K00041,1.0083,0.0008,1.0,0.095,979.4,5e-06,5.680101645130025,1.2637816757272033,0.05802284876865171,-0.05802284876865171,454.46571180833746,36.7513301530467,-36.7513301530467,0.07341747605717044,0.0013790222374968374,-0.0013790222374968374,1.2679905944135397,0.04009688655154298,-0.04009688655154298,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,69,CONFIRMED,1.0,4.72674037,1.57e-06,-1.57e-06,0.015943000000000002,4e-05,-0.000836,1.56,0.07,-0.07,0.657,0.042,-0.449,3544595,K00069.01,Kepler-93 b,20.669785,244.8787,287.8,1,284,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.2943,0.38339299089986084,0.008876809894419413,-0.24751048246595994,0.2514758448972129,-0.010547930635194547,0.015226547137435273,0.0006294407592698521,-0.0002266715384359949,0.0,0.006182363234835591,2.84467886392424,69.0,69.0,38.672359,5648.0,8.37,0.894,0.017,0.019,0.019,0.866,291.4183,8.771,11111111111111111,8.445999999999998,9.931,1.038492,777.8096049284293,2139678.895956454,1121.9409234669477,0.0,9.363696000000001,1443077.745633036,1112.514341993284,0.02386292071633993,291.4181274523133,0.0,435.71286,2.0527471191156204e+18,0.513137096221498,9.862494,38.67231242352312,1117185.3578892064,10.231075,10.450381169093239,5631.825,152.5084999999999,-129.80159999999978,0.9334565999999999,0.04456310000000019,-0.04857369999999983,8.3879497,8827751.831988934,2136106.562255044,8813013.323590925,2136106.562255044,8813013.323590925,0.06850599999999929,1.0,,0.9983304346702859,0.9983304346702858,5594.0,0.037,112.0,0.943,9.930999755859375,17.312999725341797,14.586999893188477,12.520000457763672,1.2383723258972168,1.1639659404754639,1.0976043939590454,123.605625,5593.6,100.0,-0.092,0.06,0.0,1.0,0.12,0.04013608519604836,-9.246566933838324e-05,-0.03361419621706774,0.03538330602058681,9.263241281202983e-05,0.9415624241822436,3.1799715824193915,0.00967723402131837,-0.007446459131726368,0.886625839432001,1.057514835253412,-0.038735387846378526,0.04826097245882188,0.9416978869548454,-3.4412422701959846,0.08568876122062496,-0.07616792469101552,8.377266049001191,10.862872983680663,0.8994768939422609,-2.338135770886693,K00069,cks1,,,,1.0,"CAHA,Keck,MMT,Pal1.5,Pal5,WIYN",K00069,1.0,0.0,1.0,0.112,476.2,0.00013,3.3537925847866346,1.5651723761866405,0.07241595275336989,-0.07241595275336989,278.1046498088755,22.681654817372095,-22.681654817372095,0.052984073793795806,0.0008685319531598698,-0.0008685319531598698,1.566230030215489,0.04615314972094743,-0.04615314972094743,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43,70,CONFIRMED,1.0,10.854095934000002,4.977e-06,-4.977e-06,0.029604000000000002,0.001495,-0.000524,2.99,0.33,-0.27,0.42200000000000004,0.034,-0.358,6850504,K00070.01,Kepler-20 c,29.724391999999998,203.21265,252.8,5,123,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.3178,0.29652660702279576,0.010888496785992352,-0.19580449969325606,0.20233802603288215,-0.011069631782513856,0.029228911647425866,0.0007109953199232605,-0.00028222618413725753,0.0,0.002808783413793643,3.6438174496338966,70.0,350.0,42.338718,5465.0,10.870999999999999,0.925,0.019,0.021,0.013,0.8759999999999999,287.698,11.252,11111111111111111,10.91,12.498,1.0266094000000001,25.750017034972487,196765.60004928746,91.8383975113465,0.0,11.911787,138055.32839937304,98.91531631005593,0.02193352279807526,287.6979913452331,0.0,160.0408,2.102548708017562e+18,0.503840650336697,12.453493,42.33857819055356,99717.07656765594,12.854465,3.563258743101268,5464.733,100.26699999999983,-83.73300000000017,0.89752233,0.028149769999999963,-0.03205073000000003,10.850940400000002,913384.9169353445,196443.3315541858,911888.9482164446,196811.59330866573,915287.6641516795,0.04450699999999941,2.0,,1.0002337464443314,1.0020831822171088,5508.0,0.035,110.0,0.887,12.498000144958496,51.57550048828125,43.207000732421875,38.881500244140625,1.712443470954895,1.6355540752410889,1.5897430181503296,123.605625,5507.7,100.0,0.10800000000000001,0.06,0.0,1.0,0.12,0.050852591561444366,-0.0003996010983189565,-0.031776390113086084,0.03334449890097069,0.0004034434165720302,0.8787707965219927,3.127556133916793,0.008480945498936188,-0.006992680678905905,0.9335272376379858,1.3289576917085786,-0.039536886173211376,0.02734041180339275,0.8876393840609208,-2.164796038949908,0.06331702729096422,-0.07985648162303137,3.8594169299928383,3.261581000304248,0.28955662423408696,-0.8073908143055816,K00070,cks1,,,,1.0,"Keck,Lick,Pal1.5,Pal5,WIYN",K00070,1.0054,0.0005,,,,6.6e-06,4.100202195908796,2.8084058699184284,0.11438318671746343,-0.11438318671746343,73.8646370506118,5.844916465120473,-5.844916465120473,0.09380414540776544,0.0011262157542849846,-0.0011262157542849846,2.833974819817697,0.05347505844858244,-0.05347505844858244,False,False,False,False,False,False,False,False,False,False,False,False,False,False
